title,url,price_raw_orig,price_million_final,price_billion,price_vnd_original,location,district,area_m2,snippet
"Bán căn 2 ngủ chung cư xala 69m2  giá chỉ 3,2x tỷ",https://homedy.com/ban-can-ho-quan-ha-dong-ha-noi/2-ngu-chung-cu-xala-69m2-gia-chi-32x-ty-es3152075,Thỏa thuận,,,,"Quận Hà Đông, Hà Nội",Quận Hà Đông,69.0,
"Bán Nhà Mới Phố Yên Hoa Ngõ Ô Tô Thông, Đi Bộ Ra Phố, Tiện Ích",https://homedy.com/ban-nha-mat-pho-quan-tay-ho-ha-noi/moi-yen-hoa-ngo-o-to-thong-di-bo-ra-tien-ich-es3150678,15 Tỷ,15000.0,15.0,15.0,"Quận Tây Hồ, Hà Nội",Quận Tây Hồ,64.0,
"Hiếm! Cần bán 59m2, nhà 3 tầng mặt phố Trâu Quỳ. Khu kinh doanh sầm uất, dòng tiền ổn định!",https://homedy.com/ban-nha-mat-pho-huyen-gia-lam-ha-noi/hiem-can-59m2-3-tang-trau-quy-khu-kinh-doanh-sam-uat-dong-tien-on-dinh-es3153231,"13,5 Tỷ",13500.0,13.5,135.0,"Huyện Gia Lâm, Hà Nội",Huyện Gia Lâm,59.0,
"Bán gấp Siêu phẩm Phân lô Kinh doanhô tô tránh 67m² 5 tầngKĐT Văn Quán, Hà Đông",https://homedy.com/ban-nha-biet-thu-lien-ke-quan-ha-dong-ha-noi/gap-sieu-pham-phan-lo-kinh-doanho-to-tranh-67m-5-tangkdt-van-es3160809,"18,2 Tỷ",18200.0,18.2,182.0,"Quận Hà Đông, Hà Nội",Quận Hà Đông,67.0,
Chung cư ia20 Ciputra 92m2 gia  5ty 0382276666,https://homedy.com/ban-can-ho-quan-bac-tu-liem-ha-noi/chung-cu-ia20-ciputra-92m2-gia-5ty-0382276666-es2930724,5 Tỷ,5000.0,5.0,5.0,"Bắc Từ Liêm, Hà Nội",Bắc Từ Liêm,92.0,
✅ Siêu Phẩm Dòng Tiền CCMN 48m2 mt 7.2m - Lô góc 3 mặt tiền - 7 tầng thang máy - 10 phòng KK,https://homedy.com/ban-nha-rieng-quan-nam-tu-liem-ha-noi/sieu-pham-dong-tien-ccmn-48m2-mt-7-2m-lo-goc-3-mat-tang-thang-may-10-phong-kk-es3167469,15 Tỷ,15000.0,15.0,15.0,"Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,48.0,
Hàng Hiếm Đường 32 - 51m2 Mặt Tền 5m4 - Oto Đỗ Cửa - Cách 3 nhà ra QL 32,https://homedy.com/ban-dat-huyen-hoai-duc-ha-noi/hang-hiem-duong-32-51m2-mat-ten-5m4-oto-do-cua-cach-3-nha-ra-ql-es3167470,"7,88 Tỷ",7880.0,7.88,788.0,"Huyện Hoài Đức, Hà Nội",Huyện Hoài Đức,51.0,
Nhà 6 Tầng Thang Máy Khu DV Vân Canh - 43m2 - Mặt tiền kinh doanh,https://homedy.com/ban-nha-rieng-huyen-hoai-duc-ha-noi/6-tang-thang-may-khu-dv-van-canh-43m2-mat-tien-kinh-doanh-es3167471,"13,5 Tỷ",13500.0,13.5,135.0,"Huyện Hoài Đức, Hà Nội",Huyện Hoài Đức,43.0,
Chính chủ bán nhà 2 căn nhà mặt phố 5 tầng thang máy cạnh Big C Long Biên 90m2 chia 2 căn 13.8 tỷ,https://homedy.com/ban-nha-rieng-quan-long-bien-ha-noi/chinh-chu-2-can-mat-pho-5-tang-thang-may-canh-big-c-90m2-chia-13-8-ty-es3167462,"13,8 Tỷ",13800.0,13.8,138.0,"Quận Long Biên, Hà Nội",Quận Long Biên,90.0,
Penthouse hạng sang Green Iconic quận Long Biên 250m2  - Khôn gian sống riêng tư Lh 0987106521,https://homedy.com/ban-can-ho-sunshine-green-iconic-long-bien/penthouse-hang-sang-quan-250m2-khon-gian-song-rieng-tu-lh-0987106521-es1819131,Thỏa thuận,,,,"quận Long Biên, thành phố Hà Nội",quận Long Biên,250.0,
Siêu phẩm đẹp nhất phố Duy Tân - Skyvilla Dreamland Bonanza  300m2 Full nội thất cao cấp Indochine,https://homedy.com/ban-can-ho-dreamland-bonanza/sieu-pham-dep-nhat-pho-duy-tan-skyvilla-300m2-full-noi-that-cao-cap-indochine-es3115704,Thỏa thuận,,,,"Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,300.0,
Penthouse Mulberry Lane - tại Làng Việt Kiều Châu Âu  Căn biệt thự trên không 480m2 bàn giao thô,https://homedy.com/ban-can-ho-mulberry-lane/penthouse-tai-lang-viet-kieu-chau-au-biet-thu-tren-khong-480m2-giao-tho-es2133456,Thỏa thuận,,,,"Quận Hà Đông, Hà Nội",Quận Hà Đông,480.0,
"Cơ hội hiếm! Căn hộ 3PN 135m², giá 16,5 tỷ Dleroi Soleil đẳng cấp nhất Hồ Tây. 0914 772279",https://homedy.com/ban-can-ho-d-le-roi-soleil-quang-an/co-hoi-hiem-3pn-135m-gia-165-ty-dleroi-dang-cap-nhat-tay-0914-772279-es3167406,"16,5 - 43 Tỷ",29750.0,29.75,16543.0,"Quận Tây Hồ, Hà Nội",Quận Tây Hồ,135.0,
"Liền kề DV Vạn Phúc DT41m2x7tầng thang máy, MT4.1m, 18 tỷ Hà Đông",https://homedy.com/ban-nha-biet-thu-lien-ke-quan-ha-dong-ha-noi/dv-van-phuc-dt41m2x7tang-thang-may-mt4-1m-18-ty-es3167399,18 Tỷ,18000.0,18.0,18.0,"Quận Hà Đông, Hà Nội",Quận Hà Đông,41.0,
"Sở hữu biệt thự An quý Villa song lập kđt dương nội, hà đông, hà nội",https://homedy.com/ban-nha-biet-thu-lien-ke-quan-ha-dong-ha-noi/so-huu-an-quy-villa-song-lap-kdt-duong-es3167400,0 - 0 Triệu,0.0,0.0,0.0,"Quận Hà Đông, Hà Nội",Quận Hà Đông,64.0,
"Đất Hiếm, đất biệt thự Vườn Đào DT176m2, MT11m, 99 tỷ Tây Hồ",https://homedy.com/ban-dat-quan-tay-ho-ha-noi/hiem-biet-thu-vuon-dao-dt176m2-mt11m-99-ty-es3167380,99 Tỷ,99000.0,99.0,99.0,"Quận Tây Hồ, Hà Nội",Quận Tây Hồ,176.0,
"Sunshine Golden River – căn hộ 3PN + 1, diện tích 161m², giá 23,2 tỷ bao thuế phí",https://homedy.com/ban-can-ho-sunshine-golden-river/3pn-1-dien-tich-161m-gia-232-ty-bao-thue-phi-es3167373,"23,2 Tỷ",23200.0,23.2,232.0,"Quận Tây Hồ, Hà Nội",Quận Tây Hồ,161.0,
"Nhà đẹp phố Trần Thái Tông - Trung tâm Cầu Giấy - ngõ thông thoáng sạch sẽ - Nhà đủ đồ,  ở ngay",https://homedy.com/ban-nha-rieng-quan-cau-giay-ha-noi/dep-pho-tran-thai-tong-trung-tam-ngo-thong-thoang-sach-se-du-do-o-ngay-es3166414,"7,85 Tỷ",7850.0,7.85,785.0,"Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,64.0,
Nhà đẹp Hiếm ở Ngọc Hà - Ba Đình - 03 Ngủ Ở ngay - vị trí tốt - trung tâm VIP,https://homedy.com/ban-nha-rieng-quan-ba-dinh-ha-noi/dep-hiem-o-ngoc-03-ngu-ngay-vi-tri-tot-trung-tam-vip-es3166173,"5,1 Tỷ",5100.0,5.1,51.0,"Quận Ba Đình, Hà Nội",Quận Ba Đình,64.0,
"Bán nhà mặt ngõ kinh doanh Ô TÔ đỗ cửa phố Chùa Bộc: 50m, 4 tầng, giá 15.5 tỷ.",https://homedy.com/ban-nha-rieng-quan-dong-da-ha-noi/mat-ngo-kinh-doanh-o-to-do-cua-pho-chua-boc-50m-4-tang-gia-15-5-ty-es3167363,"15,5 Tỷ",15500.0,15.5,155.0,"Quận Đống Đa, Hà Nội",Quận Đống Đa,50.0,
"Bán chung cư I9 Khuất Duy Tiến: 122m2 , 3PN ,căn góc giá rẻ 64tr/m2",https://homedy.com/ban-can-ho-quan-thanh-xuan-ha-noi/chung-cu-i9-khuat-duy-tien-122m2-3pn-goc-gia-re-64tr-m2-es3167366,"7,9 Tỷ",7900.0,7.9,79.0,"Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,122.0,
"Bán nhà riêng phố Tương Mai : 40m2 , 4 tầng ngõ ô tô giá 9.4 tỷ",https://homedy.com/ban-nha-rieng-quan-hoang-mai-ha-noi/pho-tuong-40m2-4-tang-ngo-o-to-gia-9-ty-es3167360,"9,4 Tỷ",9400.0,9.4,94.0,"Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,40.0,
"Bán căn nhà dòng tiền phố Lê Trọng Tấn: 38m, 5 TẦNG,  FULL 7 phòng khép kín, giá 8.6 tỷ.",https://homedy.com/ban-nha-rieng-quan-thanh-xuan-ha-noi/can-dong-tien-pho-le-trong-tan-38m-5-tang-full-7-phong-khep-kin-gia-8-6-ty-es3167358,"8,6 Tỷ",8600.0,8.6,86.0,"Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,38.0,
"Nhà 4T xây thô khu TT3 Văn Phú, 2 căn liền kề DT180m2, MT9m, ôtô KD, 46 tỷ Hà Đông",https://homedy.com/ban-nha-biet-thu-lien-ke-quan-ha-dong-ha-noi/4t-xay-tho-khu-tt3-van-phu-2-can-dt180m2-mt9m-oto-kd-46-ty-es3167348,46 Tỷ,46000.0,46.0,46.0,"Quận Hà Đông, Hà Nội",Quận Hà Đông,180.0,
Nhỉnh 4 tỷ có hộ khẩu Ba Đình - tài sản trung tâm giá trị cao.,https://homedy.com/ban-nha-rieng-quan-ba-dinh-ha-noi/nhinh-4-ty-co-ho-khau-tai-san-trung-tam-gia-tri-cao-es3166156,"4,18 Tỷ",4180.0,4.18,418.0,"Quận Ba Đình, Hà Nội",Quận Ba Đình,64.0,
Ngọc Hà - Lăng Bác - Toà 7 tầng thang máy - Cho thuê doanh thu 50tr/tháng - VIP Ba Đình.,https://homedy.com/ban-nha-rieng-quan-ba-dinh-ha-noi/ngoc-lang-bac-toa-7-tang-thang-may-cho-thue-doanh-thu-50tr-vip-es3166517,14 Tỷ,14000.0,14.0,14.0,"Quận Ba Đình, Hà Nội",Quận Ba Đình,64.0,
"Booking trực tiếp CĐT The Queen 360 Giải Phóng, ck 9.5%, được chọn căn tầng đẹp",https://homedy.com/ban-can-ho-quan-thanh-xuan-ha-noi/booking-truc-tiep-cdt-the-queen-360-giai-phong-ck-9-5-duoc-chon-tang-dep-es3167325,7 Tỷ,7000.0,7.0,7.0,"Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,64.0,
"Chính chủ cần tiền em bán mảnh đất 66m gần chợ , công viên , trường học và đường 70A giá đầu tư ah",https://homedy.com/ban-dat-huyen-hoai-duc-ha-noi/chinh-chu-can-tien-em-manh-66m-gan-cho-cong-vien-truong-hoc-va-duong-70a-gia-dau-tu-ah-es3167306,58 Triệu,58.0,0.058,58.0,"Huyện Hoài Đức, Hà Nội",Huyện Hoài Đức,66.0,
"Chào bán căn hộ chelsea 116 trung kính 100m2, full nội thất, tầng đẹp, View bể bơi, yên tĩnh",https://homedy.com/ban-can-ho-chelsea-park-khu-do-thi-moi-yen-hoa/chao-116-trung-kinh-100m2-full-noi-that-tang-dep-view-be-boi-tinh-es3167280,12 Tỷ,12000.0,12.0,12.0,"Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,100.0,
"Bán căn hộ cao cấp BRG The Diamond Ressidence 105 m 3pn full nội thất đẹp,hiện đại,công năng tối ưu",https://homedy.com/ban-can-ho-brg-diamond-residence/cao-cap-the-ressidence-105-m-3pn-full-noi-that-dephien-daicong-nang-toi-uu-es3167281,"14,3 Tỷ",14300.0,14.3,143.0,"quận Thanh Xuân, TP. Hà Nội",quận Thanh Xuân,105.0,
Bán nhà trung tâm Hà Đông đường Lê Lợi giá hơn 8 tỷ,https://homedy.com/ban-nha-rieng-quan-ha-dong-ha-noi/trung-tam-duong-le-loi-gia-hon-8-ty-es3167285,"8,5 - 8,6 Tỷ",8550.0,8.55,8586.0,"Quận Hà Đông, Hà Nội",Quận Hà Đông,64.0,
"Nhỉnh 2 tỷ - đất full thổ cư - Ngõ ba gác - cách đường lớn 20m - Thụy Lâm, Đông Anh",https://homedy.com/ban-dat-huyen-dong-anh-ha-noi/nhinh-2-ty-full-tho-cu-ngo-ba-gac-cach-duong-lon-20m-thuy-lam-es3167251,"2,5 Tỷ",2500.0,2.5,25.0,"Huyện Đông Anh, Hà Nội",Huyện Đông Anh,20.0,
1Nhà Ra Phố Tây Kết-Ngõ ÔTÔ Thông-Kinh Doanh-Phân Lô 23m2 x 7Tầng-Nhỉnh 6Tỷ,https://homedy.com/ban-nha-rieng-quan-hai-ba-trung-ha-noi/1nha-ra-pho-tay-ket-ngo-oto-thong-kinh-doanh-phan-lo-23m2-x-7tang-nhinh-6ty-es3167243,"6,3 Tỷ",6300.0,6.3,63.0,"Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,23.0,
"Bán nhà đẹp ở ngay Ngô Thì Nhậm Hà Đông, ô tô vào nhà, lô góc 3 mặt thoáng, Lake view đỉnh",https://homedy.com/ban-nha-rieng-quan-ha-dong-ha-noi/dep-o-ngay-ngo-thi-nham-to-vao-lo-goc-3-mat-thoang-lake-view-dinh-es3167236,"13,8 Tỷ",13800.0,13.8,138.0,"Quận Hà Đông, Hà Nội",Quận Hà Đông,3.0,
"Bán Nhà Hồ Linh Quang, 36m nhà sát hồ, nội thất sang trọng, giá 9,3Tỷ",https://homedy.com/ban-nha-rieng-quan-dong-da-ha-noi/ho-linh-quang-36m-sat-that-sang-trong-gia-93ty-es3166453,"9,3 Tỷ",9300.0,9.3,93.0,"Quận Đống Đa, Hà Nội",Quận Đống Đa,36.0,
Bán Nhà BT  MỚI 3 Tầng – 253m² – Tân Tây Đô – Gía Chỉ 120tr/1m2 (rẻ hơn đất nền sung quanh),https://homedy.com/ban-nha-biet-thu-lien-ke-huyen-dan-phuong-ha-noi/bt-moi-3-tang-253m-tan-tay-do-gia-chi-120tr-1m2-re-hon-dat-nen-sung-quanh-es3167209,Thỏa thuận,,,,"Huyện Đan Phượng, Hà Nội",Huyện Đan Phượng,253.0,
"Bán căn Penthouse Sunshine Riverside,  diện tích 210m2 ,  giá 21 tỷ, sẵn sổ.",https://homedy.com/ban-can-ho-sunshine-riverside/penthouse-dien-tich-210m2-gia-21-ty-san-so-es3167206,21 Tỷ,21000.0,21.0,21.0,"Quận Tây Hồ, Hà Nội",Quận Tây Hồ,210.0,
siêu phẩm- dòng tiền hoàng mai- nhà 2 mặt ngõ,https://homedy.com/ban-nha-rieng-quan-hoang-mai-ha-noi/sieu-pham-dong-tien-2-mat-ngo-es3167196,"14,4 Tỷ",14400.0,14.4,144.0,"Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,2.0,
Bán nhà Tập Thể Tầng 1 khu vực Thanh Xuân Bắc,https://homedy.com/ban-nha-rieng-quan-thanh-xuan-ha-noi/tap-the-tang-1-khu-vuc-bac-es3167187,"5,5 Tỷ",5500.0,5.5,55.0,"Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,64.0,
"nhà đẹp ở ngay, 20m ra ô tô, 7 tầng có thang máy, ngõ rộng",https://homedy.com/ban-nha-rieng-quan-tay-ho-ha-noi/dep-o-ngay-20m-ra-to-7-tang-co-thang-may-ngo-rong-es3167182,"17,29 Tỷ",17290.0,17.29,1729.0,"Quận Tây Hồ, Hà Nội",Quận Tây Hồ,20.0,
"Chủ cần bán và cho thuê tòa vp 7 tầng mặt phố Mễ Trì Thượng. Dt 52m2,Mt 4m. Giá 21,5 Tỷ. 35 Tr/Th",https://homedy.com/ban-nha-mat-pho-quan-nam-tu-liem-ha-noi/chu-can-va-cho-thue-toa-vp-7-tang-me-tri-thuong-dt-52m2mt-4m-gia-215-ty-35-tr-th-es3161463,"21,5 Tỷ",21500.0,21.5,215.0,"Nam Từ Liêm, Hà Nội",Nam Từ Liêm,52.0,
"Chủ cần bán tòa văn phòng 9 tầng mặt phố Trung Văn. Dt 147m2, Mt 7,2m. Giá 75 Tỷ",https://homedy.com/ban-nha-mat-pho-quan-nam-tu-liem-ha-noi/chu-can-toa-van-phong-9-tang-trung-dt-147m2-mt-72m-gia-75-ty-es3167172,75 Tỷ,75000.0,75.0,75.0,"Nam Từ Liêm, Hà Nội",Nam Từ Liêm,147.0,
"Duplex Sunshine City Ciputra, không gian hiếm có, giá trị vượt trội, diện tích 198m2,  giá 19 tỷ.",https://homedy.com/ban-can-ho-sunshine-city/duplex-ciputra-khong-gian-hiem-co-gia-tri-vuot-troi-dien-tich-198m2-19-ty-es3167140,19 Tỷ,19000.0,19.0,19.0,"quận Bắc Từ Liêm, Hà Nội",quận Bắc Từ Liêm,198.0,
"Siêu phẩm chính chủ bán nhà P. Trường Chinh - 50M2 - 4 Tầng, Ô TÔ đỗ cửa kinh doanh, giá 25.5 TỶ.",https://homedy.com/ban-nha-rieng-quan-dong-da-ha-noi/sieu-pham-chinh-chu-p-truong-50m2-4-tang-o-to-do-cua-kinh-doanh-gia-25-5-ty-es3166514,"15,5 Tỷ",15500.0,15.5,155.0,"Quận Đống Đa, Hà Nội",Quận Đống Đa,50.0,
Vợ chồng cần tiền nên bán nhanh lô đất full thổ cư tại lõi Hòa Lạc,https://homedy.com/ban-dat-huyen-quoc-oai-ha-noi/vo-chong-can-tien-nen-nhanh-lo-full-tho-cu-tai-loi-hoa-lac-es3164950,4 Tỷ,4000.0,4.0,4.0,"Huyện Quốc Oai, Hà Nội",Huyện Quốc Oai,64.0,
Solasta Mansion – Biệt thự đẳng cấp giữa lòng Dương Nội,https://homedy.com/ban-nha-biet-thu-lien-ke-solasta-mansion-duong-noi/dang-cap-giua-long-es3164383,36 Tỷ,36000.0,36.0,36.0,"Hà Đông, Hà Nội",Hà Đông,64.0,
"Bán gấp nhà ô tô Cầu Giấy, Lạc long Quân, rất thuận kinh doanh, sổ vuông vức, giá nhỉnh 10 tỷ",https://homedy.com/ban-nha-rieng-quan-cau-giay-ha-noi/gap-o-to-lac-long-rat-thuan-kinh-doanh-so-vuong-vuc-gia-nhinh-10-ty-es3167093,"10,4 Tỷ",10400.0,10.4,104.0,"Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,64.0,
"Bán gấp căn nhà hàng hiếm cầu giấy, ngõ ô tô qua nhà, mặt tiền 10m, giá chỉ 7.5 tỷ",https://homedy.com/ban-nha-rieng-quan-cau-giay-ha-noi/gap-can-hang-hiem-ngo-o-to-qua-mat-tien-10m-gia-chi-7-5-ty-es3162188,"7,5 Tỷ",7500.0,7.5,75.0,"Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,10.0,
"Cần bán gấp lô góc Cầu Giấy, Trần thái tông, ô tô đỗ cửa, giá nhỉnh 10 tỷ",https://homedy.com/ban-nha-rieng-quan-cau-giay-ha-noi/can-gap-lo-goc-tran-thai-tong-o-to-do-cua-gia-nhinh-10-ty-es3166303,"10,5 Tỷ",10500.0,10.5,105.0,"Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,64.0,
Tòa CCMN Mai Động 70m2 40m ô tô 10P khép kín 12.5 tỷ 0812383898,https://homedy.com/toa-ccmn-mai-dong-70m2-40m-o-to-10p-khep-kin-12-5-ty-0812383898-es3165104,"12,5 Tỷ",12500.0,12.5,125.0,"Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,70.0,
Siêu phẩm Dương Văn Bé 50m2 Thang máy Ô tô vào nhà,https://homedy.com/ban-nha-rieng-quan-hai-ba-trung-ha-noi/sieu-pham-duong-van-be-50m2-thang-may-o-to-vao-es3160526,Thỏa thuận,,,,"Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,50.0,
Bán khách sạn Đại Cồ Việt 80m2 x 12P Phong cách Japan mặt tiền 7m 45 tỷ,https://homedy.com/ban-khach-san-dai-co-viet-80m2-x-12p-phong-cach-japan-mat-tien-7m-45-ty-es3164668,45 Tỷ,45000.0,45.0,45.0,"Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,80.0,
"Nhà Cực Hiếm 2 MẶT PHỐ tại Xã Đàn 4 Tầng 30m 16,5 Tỷ",https://homedy.com/ban-nha-mat-pho-quan-dong-da-ha-noi/cuc-hiem-2-tai-xa-dan-4-tang-30m-165-ty-es3167016,"16,5 Tỷ",16500.0,16.5,165.0,"Quận Đống Đa, Hà Nội",Quận Đống Đa,2.0,
Nhà HIẾM Lô Góc Ccmn XÃ ĐÀN 7 Tầng 50M 16.86 TỶ,https://homedy.com/ban-nha-rieng-quan-dong-da-ha-noi/hiem-lo-goc-ccmn-xa-dan-7-tang-50m-16-86-ty-es3167007,"16,86 Tỷ",16860.0,16.86,1686.0,"Quận Đống Đa, Hà Nội",Quận Đống Đa,50.0,
"Bán nhà Tây Mỗ, nhà mới thang máy, thiết kế đẹp, Mt rộng, hơn 6 tỷ",https://homedy.com/ban-nha-rieng-quan-nam-tu-liem-ha-noi/tay-mo-moi-thang-may-thiet-ke-dep-mt-rong-hon-6-ty-es3166999,"6,69 Tỷ",6690.0,6.69,669.0,"Nam Từ Liêm, Hà Nội",Nam Từ Liêm,64.0,
"Bán nhà Tây Mỗ, lô góc siêu thoáng, mặt tiền rộng, an sinh đỉnh",https://homedy.com/ban-nha-rieng-quan-nam-tu-liem-ha-noi/tay-mo-lo-goc-sieu-thoang-mat-tien-rong-an-sinh-dinh-es3166996,"6,79 Tỷ",6790.0,6.79,679.0,"Nam Từ Liêm, Hà Nội",Nam Từ Liêm,64.0,
"Bán Căn hộ GÓc View Hồ Tây tòa nhà G3 Ciputra, Hà Nội",https://homedy.com/ban-can-ho-khu-do-thi-nam-thang-long-ciputra/goc-view-tay-toa-nha-g3-ha-noi-es3166997,"13,8 Tỷ",13800.0,13.8,138.0,"Quận Tây Hồ, Hà Nội",Quận Tây Hồ,64.0,
"Bán nhà Tây Mỗ, 6 tầng thang máy, công năng hiện đại, ở sướng",https://homedy.com/ban-nha-rieng-quan-nam-tu-liem-ha-noi/tay-mo-6-tang-thang-may-cong-nang-hien-dai-o-suong-es3166994,"7,39 Tỷ",7390.0,7.39,739.0,"Nam Từ Liêm, Hà Nội",Nam Từ Liêm,64.0,
"Bán nhà Tây Mỗ, ngõ thông tứ tung, view Vincom, ô tô đỗ cách 5m",https://homedy.com/ban-nha-rieng-quan-nam-tu-liem-ha-noi/tay-mo-ngo-thong-tung-view-vincom-o-to-do-cach-5m-es3166993,"6,49 Tỷ",6490.0,6.49,649.0,"Nam Từ Liêm, Hà Nội",Nam Từ Liêm,5.0,
"Bán nhà Đại Mỗ, xây tâm huyết, nội thất xịn, diện tích lớn ở sướng",https://homedy.com/ban-nha-rieng-quan-nam-tu-liem-ha-noi/dai-mo-xay-tam-huyet-that-xin-dien-tich-lon-o-suong-es3166992,"10,49 Tỷ",10490.0,10.49,1049.0,"Nam Từ Liêm, Hà Nội",Nam Từ Liêm,64.0,
"Bán nhà Quang Tiến, Đại Mỗ, xây mới hiện đại, chỉ 20m ra ô tô",https://homedy.com/ban-nha-rieng-quan-nam-tu-liem-ha-noi/quang-tien-dai-mo-xay-moi-hien-chi-20m-ra-o-to-es3166990,"7,39 Tỷ",7390.0,7.39,739.0,"Nam Từ Liêm, Hà Nội",Nam Từ Liêm,20.0,
"Bán nhà Tây Mỗ, nhà mới đẹp full đồ, chỉ 20m ra mặt phố giá tốt",https://homedy.com/ban-nha-rieng-quan-nam-tu-liem-ha-noi/tay-mo-moi-dep-full-do-chi-20m-ra-mat-pho-gia-tot-es3166989,"6,84 Tỷ",6840.0,6.84,684.0,"Nam Từ Liêm, Hà Nội",Nam Từ Liêm,20.0,
"Bán nhà Tây Mỗ, nhà mới đẹp, diện tích rộng mặt tiền đẹp, giá tốt",https://homedy.com/ban-nha-rieng-quan-nam-tu-liem-ha-noi/tay-mo-moi-dep-dien-tich-rong-mat-tien-gia-tot-es3166988,"7,69 Tỷ",7690.0,7.69,769.0,"Nam Từ Liêm, Hà Nội",Nam Từ Liêm,64.0,
"Bán đất giá 10 tỷ - Nở hâu, lô góc 2 mặt tiền - Mở xưởng kinh doanh/ cho thuê",https://homedy.com/ban-nha-rieng-huyen-dong-anh-ha-noi/dat-gia-10-ty-no-hau-lo-goc-2-mat-tien-mo-xuong-kinh-doanh-cho-thue-es3166986,10 Tỷ,10000.0,10.0,10.0,"Huyện Đông Anh, Hà Nội",Huyện Đông Anh,2.0,
"Bán nhà 5 tầng mặt phố, 2 mặt tiền - Vị trí đắc địa Văn Quán, Hà Đông. DT 90m, mặt tiền 5m",https://homedy.com/ban-nha-mat-pho-quan-ha-dong-ha-noi/5-tang-2-tien-vi-tri-dac-dia-van-dt-90m-5m-es3166962,29 Tỷ,29000.0,29.0,29.0,"Quận Hà Đông, Hà Nội",Quận Hà Đông,2.0,
Cần bán căn song lập 183m2 Ngọc Trai đảo bé phân khu đẳng cấp của dự án Vinhomes Ocean Park-52 tỷ,https://homedy.com/ban-nha-biet-thu-lien-ke-vinhomes-ocean-park/can-song-lap-183m2-ngoc-trai-dao-be-phan-khu-dang-cap-cua-du-an-52-ty-es1944416,Thỏa thuận,,,,"huyện Gia Lâm, TP Hà Nội",huyện Gia Lâm,183.0,
"Cần bán căn song lập San Hô gần  hồ điều hòa 24,5ha- Vinhomes Ocean Park-28.x tỷ",https://homedy.com/ban-nha-biet-thu-lien-ke-vinhomes-ocean-park/can-song-lap-san-ho-gan-dieu-hoa-245ha-28-x-ty-es2000747,Thỏa thuận,,,,"huyện Gia Lâm, TP Hà Nội",huyện Gia Lâm,64.0,
"Siêu hiếm bán nhà mặt ngõ kinh doanh phố Tây Sơn: 50m, 4 tầng, Ô TÔ đỗ cửa, giá 15.5 tỷ.",https://homedy.com/ban-nha-rieng-quan-dong-da-ha-noi/sieu-hiem-mat-ngo-kinh-doanh-pho-tay-son-50m-4-tang-o-to-do-cua-gia-15-5-ty-es3166931,"15,5 Tỷ",15500.0,15.5,155.0,"Quận Đống Đa, Hà Nội",Quận Đống Đa,50.0,
"Siêu phẩm dòng tiền phố Nguyễn Trãi: 38m, 5 TẦNG,  FULL 7 phòng khép kín, giá 8.6 tỷ.",https://homedy.com/ban-nha-rieng-quan-thanh-xuan-ha-noi/sieu-pham-dong-tien-pho-nguyen-trai-38m-5-tang-full-7-phong-khep-kin-gia-8-6-ty-es3166928,"8,6 Tỷ",8600.0,8.6,86.0,"Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,38.0,
"!!! Ảo thật đấy !!! Trung tâm Ngã tư sở !!!Mà chỉ với 13,99 tỷ !!! oto đỗ cửa dịu dàng !!!",https://homedy.com/ban-nha-rieng-quan-dong-da-ha-noi/ao-that-day-trung-tam-nga-tu-so-ma-chi-voi-1399-ty-oto-do-cua-diu-dang-es3166890,"13,99 Tỷ",13990.0,13.99,1399.0,"Quận Đống Đa, Hà Nội",Quận Đống Đa,64.0,
Bán Nhà Phố TÔ Ngọc Vân nhà đang kinh doanh cho dòng tiền đều hàng năm,https://homedy.com/ban-nha-mat-pho-quan-tay-ho-ha-noi/to-ngoc-van-dang-kinh-doanh-cho-dong-tien-deu-hang-nam-es3163135,115 Tỷ,115000.0,115.0,115.0,"Quận Tây Hồ, Hà Nội",Quận Tây Hồ,64.0,
Bán Khách Sạn Cao Cấp 5 Tầng Diện Tích 163m Phố Quảng Khánh Đang Cho Thuê Doanh Thu 250tr 1 tháng,https://homedy.com/ban-khach-san-cao-cap-5-tang-dien-tich-163m-pho-quang-khanh-dang-cho-thue-doanh-thu-250tr-1-thang-es3166874,Thỏa thuận,,,,"Quận Tây Hồ, Hà Nội",Quận Tây Hồ,163.0,
